id|nct_id|ctgov_group_code|event_type|classification|subjects_affected|subjects_at_risk|created_at|updated_at
227506937|NCT03036124|EG000|serious|Total, serious adverse events|895|2368|2026-08-30 01:49:37.382417|2026-08-30 01:49:37.382417
227506938|NCT03036124|EG001|serious|Total, serious adverse events|994|2368|2026-08-30 01:49:37.382417|2026-08-30 01:49:37.382417
227247844|NCT01294462|EG000|deaths|Total, all-cause mortality|||2026-08-29 09:49:53.970777|2026-08-29 09:49:53.970777
227247845|NCT01294462|EG001|deaths|Total, all-cause mortality|||2026-08-29 09:49:53.970777|2026-08-29 09:49:53.970777
227248018|NCT01294462|EG000|other|Total, other adverse events|327|387|2026-08-29 09:49:54.027483|2026-08-29 09:49:54.027483
227248019|NCT01294462|EG001|other|Total, other adverse events|337|380|2026-08-29 09:49:54.027483|2026-08-29 09:49:54.027483
227248192|NCT01294462|EG000|serious|Total, serious adverse events|92|387|2026-08-29 09:49:54.083185|2026-08-29 09:49:54.083185
227248193|NCT01294462|EG001|serious|Total, serious adverse events|112|380|2026-08-29 09:49:54.083185|2026-08-29 09:49:54.083185
227014702|NCT02418585|EG000|deaths|Total, all-cause mortality|1|115|2026-08-28 18:13:48.210168|2026-08-28 18:13:48.210168
227014703|NCT02418585|EG001|deaths|Total, all-cause mortality|0|109|2026-08-28 18:13:48.210168|2026-08-28 18:13:48.210168
227014704|NCT02418585|EG002|deaths|Total, all-cause mortality|0|34|2026-08-28 18:13:48.210168|2026-08-28 18:13:48.210168
227014705|NCT02418585|EG003|deaths|Total, all-cause mortality|0|52|2026-08-28 18:13:48.210168|2026-08-28 18:13:48.210168
227014893|NCT02418585|EG000|other|Total, other adverse events|90|115|2026-08-28 18:13:48.275104|2026-08-28 18:13:48.275104
227014894|NCT02418585|EG001|other|Total, other adverse events|53|109|2026-08-28 18:13:48.275104|2026-08-28 18:13:48.275104
227014895|NCT02418585|EG002|other|Total, other adverse events|7|34|2026-08-28 18:13:48.275104|2026-08-28 18:13:48.275104
227014896|NCT02418585|EG003|other|Total, other adverse events|6|52|2026-08-28 18:13:48.275104|2026-08-28 18:13:48.275104
227015084|NCT02418585|EG000|serious|Total, serious adverse events|1|115|2026-08-28 18:13:48.347031|2026-08-28 18:13:48.347031
227015085|NCT02418585|EG001|serious|Total, serious adverse events|1|109|2026-08-28 18:13:48.347031|2026-08-28 18:13:48.347031
227015086|NCT02418585|EG002|serious|Total, serious adverse events|1|34|2026-08-28 18:13:48.347031|2026-08-28 18:13:48.347031
227015087|NCT02418585|EG003|serious|Total, serious adverse events|0|52|2026-08-28 18:13:48.347031|2026-08-28 18:13:48.347031
227015302|NCT03434041|EG000|deaths|Total, all-cause mortality|1|126|2026-08-28 18:15:45.717958|2026-08-28 18:15:45.717958
227015303|NCT03434041|EG001|deaths|Total, all-cause mortality|0|126|2026-08-28 18:15:45.717958|2026-08-28 18:15:45.717958
227015304|NCT03434041|EG002|deaths|Total, all-cause mortality|0|106|2026-08-28 18:15:45.717958|2026-08-28 18:15:45.717958
227015305|NCT03434041|EG003|deaths|Total, all-cause mortality|0|103|2026-08-28 18:15:45.717958|2026-08-28 18:15:45.717958
227015586|NCT03434041|EG000|other|Total, other adverse events|118|126|2026-08-28 18:15:45.800916|2026-08-28 18:15:45.800916
227015587|NCT03434041|EG001|other|Total, other adverse events|61|126|2026-08-28 18:15:45.800916|2026-08-28 18:15:45.800916
227015588|NCT03434041|EG002|other|Total, other adverse events|10|106|2026-08-28 18:15:45.800916|2026-08-28 18:15:45.800916
227015589|NCT03434041|EG003|other|Total, other adverse events|13|103|2026-08-28 18:15:45.800916|2026-08-28 18:15:45.800916
227015870|NCT03434041|EG000|serious|Total, serious adverse events|3|126|2026-08-28 18:15:45.876324|2026-08-28 18:15:45.876324
227015871|NCT03434041|EG001|serious|Total, serious adverse events|3|126|2026-08-28 18:15:45.876324|2026-08-28 18:15:45.876324
227015872|NCT03434041|EG002|serious|Total, serious adverse events|2|106|2026-08-28 18:15:45.876324|2026-08-28 18:15:45.876324
227015873|NCT03434041|EG003|serious|Total, serious adverse events|2|103|2026-08-28 18:15:45.876324|2026-08-28 18:15:45.876324
